id_agree,rta_deep_std1,rta_deep_std2,rta_deep_std3,rta_deep_std4,rta_deep_std5,rta_deep_std6,rta_deep_std7,rta_deep_std8,rta_deep_std9,rta_deep_std10,rta_deep_std11,rta_deep_std12,rta_deep_std13,rta_deep_std14,rta_deep_std15,rta_deep_std16,rta_deep_std17,rta_deep_std18
116,1.3562429,1.4744251,1.6942763,4.702827,4.0731196,8.6046009,0,4.8060999,3.5620131,6.0351214,2.5108564,2.3418865,2.5361955,7.5918374,1.5438449,2.0573969,2.6983781,0
117,16.173912,2.9398413,15.186835,0,2.9161048,0,0,4.6833448,5.026907,5.4705882,0,0,2.982173,0,3.1834974,5.4216185,3.5616059,6.8406386
118,2.1946933,1.7895064,2.8615384,1.3244389,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,1.3562429,1.955364,3.9469295,1.4615719,2.6003287,5.124517,0,3.7199996,2.8450863,3.5238903,1.9531779,1.4740449,0,2.1941841,1.934654,1.4635383,1.8352913,0
120,2.98018,1.9640387,1.6942763,1.8813096,2.6831875,0,0,0,2.9077437,2.4379425,1.9531779,1.7677823,0,1.9634356,1.8673654,1.4154876,2.294255,0
121,1.3562429,2.4223759,1.6942763,3.2438233,2.5661139,7.1933737,5.5951662,4.9407859,3.1414618,0,2.0397613,0,0,2.8016987,3.6534588,2.1636565,2.078774,9.0322962
122,1.6074414,2.2644227,1.6942763,2.9412606,3.5452619,0,3.9780781,0,3.5042558,4.1005106,2.5190275,3.6477673,2.700057,0,1.8823813,2.8865769,2.0664999,5.4396071
123,2.3468826,1.4901589,2.8615384,1.8901249,2.5289965,2.8396947,4.67484,0,2.8995872,0,2.3852949,5.0986948,2.4964528,2.6853948,1.67418,1.7064022,2.0656474,4.8343263
124,1.3562429,2.3174524,1.6942763,1.9509186,3.7013273,7.9676008,0,4.7034917,2.8942707,4.2239046,2.0662405,3.568181,2.4682271,2.1066232,1.6643742,3.8772857,2.6971562,4.4967327
125,1.3562429,1.446813,2.8615384,1.9509186,2.5710647,4.482163,0,3.7017879,2.2545455,1.8693466,1.9425851,3.7374136,2.3262486,0,1.3615509,2.5465298,2.4231205,0
126,3.0852938,2.0926661,3.8923461,1.3244389,4.324697,0,0,0,0,0,0,3.0309272,0,0,0,1.4154876,0,0
127,1.3562429,1.9791014,1.6942763,1.917926,2.9160025,5.1237493,0,3.1260505,2.8737688,5.0749822,1.9531779,1.4740449,2.84974,2.7440951,2.251821,1.4707589,1.6689979,0
128,1.3562429,2.078696,2.8615384,1.3244389,2.3670325,6.5414786,4.4696779,3.7199996,0,5.2035656,2.2023439,3.8324447,0,2.4574621,2.9231322,1.7510371,1.9440929,0
129,5.09589,1.5763574,24.800003,1.7826923,2.7807975,5.7395535,3.9251211,3.1260505,3.3176169,4.370997,2.0104363,2.841826,2.7885106,0,1.3580728,2.6481946,2.0714064,0
130,1.3562429,1.8842722,1.6942763,1.3244389,2.8457975,0,0,0,0,3.1518633,2.0609787,1.4740449,0,1.7827212,1.9398152,1.5594511,2.0501924,0
131,1.3562429,2.161135,1.6942763,3.2649107,2.9001632,8.4928675,4.4369593,0,3.2578042,1.8693466,2.2791796,2.2319655,2.4894977,1.974683,1.6546865,1.5378501,2.1855173,4.4026494
132,1.3562429,2.344039,1.6942763,4.2442088,2.5595372,7.3791709,0,4.9167814,3.0914469,3.787822,2.0740004,4.8602443,2.2245011,1.9829588,3.5931756,0,1.9838213,0
133,1.3562429,1.7527961,1.6942763,1.4615719,3.2085662,4.8628736,4.2295699,0,2.9957631,1.8693466,2.5043356,3.3123419,0,0,1.3144341,1.9108983,2.0291712,0
134,1.3562429,1.7181562,1.6942763,1.3244389,2.3171837,3.4944563,4.0806756,0,2.9504101,0,2.1786585,3.0588136,2.537571,2.6111162,1.8514752,2.0769269,2.1758523,3.7810662
135,2.1553695,1.446813,2.4526265,1.87988,3.7295923,7.2437844,0,3.4101186,0,0,2.1631584,3.9198966,2.3692267,0,1.3615509,2.2973409,2.6703415,3.5980294
