id_agree,rta_deep_std1,rta_deep_std2,rta_deep_std3,rta_deep_std4,rta_deep_std5,rta_deep_std6,rta_deep_std7,rta_deep_std8,rta_deep_std9,rta_deep_std10,rta_deep_std11,rta_deep_std12,rta_deep_std13,rta_deep_std14,rta_deep_std15,rta_deep_std16,rta_deep_std17,rta_deep_std18
313,25.55374,3.4401338,2.5592158,5.5214572,4.632833,0,4.8325133,4.3369389,0,0,1.8903674,6.8599873,1.8305216,1.6677518,2.3478212,1.6174061,2.7432401,19.849895
318,27.424202,2.2612944,7.6188946,2.2106307,2.2778151,0,0,3.7199996,2.9338768,4.6197572,2.003376,1.4740449,0,2.7792094,3.01757,2.1831319,2.1168377,7.8582296
319,2.045655,0,1.7464596,0,3.7581508,0,0,0,0,0,0,0,0,0,0,0,0,0
320,4.3297548,1.872927,3.5968437,0,2.3375702,3.8750002,0,0,3.784662,4.7058768,2.2014971,3.0461137,2.2252858,2.0515075,1.6374973,1.6497107,1.971732,3.6152086
321,2.6853173,0,1.4296489,0,2.783365,0,0,0,0,0,0,2.7044361,0,0,0,1.6174061,0,0
322,0,0,0,0,2.3965261,0,0,0,0,0,0,5.7255287,2.9890809,0,0,3.7511313,0,5.0442295
323,2.6853173,0,1.8017151,0,2.9755561,0,0,0,0,0,0,2.2901053,0,1.9975773,1.6974027,2.7781632,2.3915958,0
324,2.6853173,2.7366409,3.567029,1.8901249,3.0807099,0,4.484519,0,4.1073251,0,0,3.4524295,2.7258127,0,1.8549558,3.6085229,3.1254673,4.5925407
326,2.6356373,1.7163885,5.3029437,3.7763133,3.963083,6.3464971,7.0667882,5.093277,2.6205733,3.9771786,1.8843462,3.2850492,2.27951,2.2359715,1.7554916,1.7064022,3.1931303,4.1477556
327,1.8181763,0,0,0,4.7422757,2.8396947,0,0,0,0,0,0,0,0,2.6593604,2.1709516,2.2117019,0
330,2.6853173,0,2.8311529,2.7683709,2.8383832,0,0,0,0,0,0,2.7850525,2.5867152,0,1.6083701,3.6584873,2.3175249,3.586328
